x0_No relevent experience,x1_Part time course,x1_no_enrollment,city_0,city_1,city_2,city_3,city_4,city_5,city_6,city_7,major_discipline_0,major_discipline_1,major_discipline_2,major_discipline_3,company_size_0,company_size_1,company_size_2,company_size_3,company_type_0,company_type_1,company_type_2,company_type_3,education_level,experience,enrollee_id,city_development_index,gender,last_new_job,training_hours,target
0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,5,8949,0.92,Male,1.0,36,1.0
1.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,29725,0.7759999999999999,Male,5.0,47,0.0
1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,11561,0.624,Male,0.0,83,0.0
1.0,0.0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,2,0,33241,0.789,Male,0.0,52,1.0
0.0,0.0,1.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,3,5,666,0.767,Male,4.0,8,0.0
0.0,1.0,0.0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,3,21651,0.764,Male,1.0,24,1.0
0.0,0.0,1.0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,28806,0.92,Male,1.0,24,0.0
0.0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,2,3,402,0.762,Male,5.0,18,1.0
0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,2,27107,0.92,Male,1.0,46,1.0
0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,2,4,699,0.92,Male,5.0,123,0.0
1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,29452,0.624,Male,0.0,32,1.0
0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,23853,0.92,Male,1.0,108,0.0
0.0,0.0,1.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,2,5,25619,0.913,Male,3.0,23,0.0
1.0,0.0,1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,5826,0.624,Male,0.0,24,0.0
1.0,0.0,0.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,8722,0.624,Male,0.0,26,0.0
0.0,0.0,1.0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,2,4,6588,0.926,Male,5.0,18,0.0
0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,4167,0.92,Male,0.0,106,0.0
0.0,0.0,1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,2,1,5764,0.624,Male,2.0,7,0.0
0.0,0.0,1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,2,2,2156,0.624,Male,0.0,23,1.0
0.0,0.0,1.0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,2,1,11399,0.8270000000000001,Female,1.0,132,1.0
0.0,0.0,1.0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,3,3,31972,0.843,Male,1.0,68,0.0
